Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," EMvision Medical Devices Ltd 
 Metro South Hospital and Health Service  - Princess Alexandra Hospital",Portable and fast medical imaging using electromagnetic beamography - Ali Zamani,St Lucia,4067,"199 Ipswich Road, Woolloongabba, Brisbane, QLD, 4102; 10/12 Creek Street, Brisbane, QLD, 4000",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 BGI Australia",Beyond visible:  A Queensland technology for early skin cancer diagnosis -Xiaoqiong Qi,St Lucia,4067,,18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The Council of the Queensland Institute of Medical Research,Herston,4006,," Xing Technologies Pty Ltd 
 BrizBrain & Spine",brAIn: Enabling Precision Treatment for Brain Cancers using Artificial Intelligence - Sriganesh Srihari,Herston,4006,"BrizBrain & Spine Neurosurgery Clinic, The Wesley Hospital,  Suite 20, Level 10, Chasely Street Auchenflower Qld 4066",18/11/2019,Brisbane (C),Brisbane and Redlands,McConnel,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,, Zeotech Limited,Developing low cost technology to turn clay to zeolite-Hong Peng,Indooroopilly,4068,,18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,300000
Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Rio Tinto Aluminium Limited 
 Queensland Alumina Limited",Developing marine bacteria biotechnology for red mud rehabilitation and rare-earth recovery - Fang You,St Lucia,4067,"Parson Point, Gladstone, Queensland 4680 Rio Tinto Aluminium, Brisbane, QLD",18/11/2019,Brisbane (C),Brisbane and Redlands,Maiwar,180000
Industry Tech Fund,AQ IndustryTech Fund 2019-20 Round 2,Xing Group Holdings Pty Ltd,Sinnamon Park,4073,," Lumos Diagnostics Pty Ltd 
 RhinoMed Limited 
 Commonwealth Scientific And Industrial Research Organisation 
 Wagner Corporation Pty Ltd 
 Luina Bio Pty Ltd","XavTrap® Platform Development and Deployment for detection of COVID-19, influenzas and other contagious viral pathogens in humans",Sinnamon Park,4073,,15/09/2020,Brisbane (C),Brisbane and Redlands,Mount Ommaney,546027
Innovate Queensland,,Impact Innovation Group Pty Ltd,Brisbane City,4000,,,Provision of Innovation Services Contract No. DITID 18009,Brisbane City,4000,Queensland wide,31/07/2018,Brisbane (C),Brisbane,McConnel,1500000
Innovation Precincts and Places,N/A,Queensland Treasury Corporation,Brisbane City,4000,University of Queensland,University of Queensland,Comparative Economic Analysis of Innovation Precincts,St Lucia,4067,University of Queensland,26/08/2020,Brisbane (C),Brisbane,McConnel,10000
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067,," Shake It Up Australia Foundation 
 Anagenix Ltd (NZ) 
 Microba Pty Ltd 
 Metro North Hospital and Health Service (MNHHS) 
 Wesley Medical Research Ltd - Master 
 The Cure Parkinson's Trust, London UK",The Queensland Drug Repurposing Initiative,St Lucia,4067,Gold Coast,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,1260949
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067,," Agrisolutions Australia Pty Ltd 
 University Of Southern Queensland - Springfield Campus - Master",Nanotechnology for Next-Generation Termiticides,St Lucia,4067,n/a,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,540000
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067,," Manildra Group 
 Department of Agriculture and Fisheries 
 James Cook University - Cairns Campus - Master",Environmentally Responsive Biocomposite Fertilisers,St Lucia,4067,Cairns  /  Toowoomba,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,400000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,Gatton,4343,," Dreamworld Ardent Leisure 
 Queensland University of Technology - Kelvin Grove Campus Master",A Living Koala Genome Bank,Gatton,4343,Coomera,6/09/2016,Lockyer Valley (R),Darling Downs,Lockyer,577730
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,South Brisbane,4101,," Griffith University - Nathan Campus - Master 
 Cerebral Palsy Alliance 
 Merchant Charitable Foundation 
 Children's Health Queensland Hospital and Health Service - Master 
 CSIRO - Australian e-Health Research Centre - Master",Advancing Cerebral Palsy in Queensland,South Brisbane,4101,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,1499710
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067,," University of Southern Queensland 
 Donovan Family Investments Pty Ltd 
 Mac Farms Pty Ltd 
 L & R Collins Pty Ltd 
 Millwood Holdings Pty Ltd T/A Delroy Orchards 
 Primary Growth Pty Ltd T/AJasper Farms 
 Central Queensland University - Bundaberg Campus - Master 
 Duravo Pty Ltd 
 Andersons Horticulture Pty Ltd",Avocado Tissue-Culture: From Lab-to-Orchard,St Lucia,4067,Bundaberg  /  Tully  /  Lakeland  /  Duranbah (NSW)  /  Pemberton (WA)  /  Busselton (WA),6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,636000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," CMTE Development Ltd T/A CRC Mining 
 Caterpillar of Australia Pty Ltd",Automation-Enabling Positioning for Underground Mining,Brisbane City,4000,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,428240
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," Department of Agriculture and Fisheries 
 Aust-Grain Exports Pty Ltd",Advancing Tropical Pulses for Queensland,Brisbane City,4000,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,750000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," 3D Industries Pty Ltd 
 Royal Brisbane and Women's Hospital Foundation - Master 
 Translational Research Institute 
 Biofabrication Design Solutions Pty Ltd",Additive Biomanufacturing Technology Platform,Brisbane City,4000,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,705000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000,," Bioproton Pty Ltd 
 The University of Queensland - St Lucia Campus - Master 
 Kennedy Creek Lime Pty Ltd 
 Ridley AgriProducts Pty Ltd",Biomanufacturing Advanced Animal Feed Supplements,Brisbane City,4000,Mackay  /  Toowoomba  /  Clifton  /  Gatton  /  Townsville,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,894704
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Central Queensland University,Norman Gardens,4701,," Griffith University - Gold Coast Campus - Master 
 Elevare Energy Pty Ltd",Battery and Microgrid Management Systems,Norman Gardens,4701,Enoggera,6/09/2016,Rockhampton (R),Central Queensland,Keppel,318721
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,South Brisbane,4101,," Nindooinbah Pastoral Pty Ltd 
 James Cook University - Cairns Campus - Master",Improving Tick-Resistance in Beef Cattle,South Brisbane,4101,Beaudesert,6/09/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,225000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,University of Southern Queensland,Darling Heights (Toowoomba),4350,," James Cook University - Townsville Campus - Master 
 MBD Energy Limtited",Health Products from Queensland Algae,Darling Heights,4350,Townsville,6/09/2016,Toowoomba (R),Darling Downs,Toowoomba South,258977
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814,," Ceres Tag Pty Ltd 
 CSIRO - Townsville - Master",Smart Ear Tag for Livestock,Douglas,4814,Brisbane  /  Charters Towers,6/07/2017,Townsville (C),Townsville,Mundingburra,1500000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," Arrow Energy Pty Ltd 
 Santos Limited 
 QGC Pty Limited 
 Queensland University of Technology - Gardens Point Campus - Master 
 Australia Pacific LNG Pty Ltd",Bentonite Abandonment Plugs,St Lucia,4067,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,175000
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067,," Alsonex Pty Ltd 
 Australia Huntingtons Disease Association Qld Inc 
 Royal Brisbane and Women's Hospital Foundation - Master 
 The MND and Me Foundation Ltd",New Treatments for Brain Disease,St Lucia,4067,n/a,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,960000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," University of Technology Sydney 
 Griffith University - Nathan Campus - Master 
 Southern Cross University 
 Queensland Urban Utilities 
 City of Gold Coast 
 Wide Bay Water Corporation 
 South Australian Water Corporation 
 Western Australia Water Corporation",Zero-Energy Sewage Treatment,St Lucia,4067,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,677953
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,University of the Sunshine Coast,Sippy Downs,4556,," Green Coast Resources Pty Ltd 
 The University of Queensland - St Lucia Campus - Master 
 Wik Timber Holdings Pty Ltd","Indigenous Employment, Forestry Livelihoods Mining",Weipa,4874,Weipa,6/07/2017,Sunshine Coast (R),Far North Queensland,Buderim,540000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," QMI (Queensland Manufacturing Institute) Solutions 
 Boeing Defence Australia",Translating Incremental-Sheet-Forming to Market,St Lucia,4067,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,1224000
Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067,," Metro North Health and Hospital Services - Master 
 Children's Health Queensland Hospital and Health Service - Master",Rapid Diagnosis of Pathogenic Infections,St Lucia,4067,n/a,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,448281
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,QIMR Berghofer Medical Research Institute,Herston,4006,," Mater Hospital 
 Queensland University of Technology - Kelvin Grove Campus Master",Commercialise Multi-Modal Imaging and Stimulation,Herston,4006,n/a,6/07/2017,Brisbane (C),Brisbane and Redlands,McConnel,1500000
Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,Woolloongabba,4102,," QIMR Berghofer Medical Research Institute - Master 
 Sullivan Nicolaides Pathology",Assessment of Precision Melanoma Diagnostics,Woolloongabba,4102,n/a,6/07/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,120000
International Delegations,,Jannah Dryden,Cairns,4870,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Cairns (R),NonQueensland,Mackay,5500
International Delegations,,Megan Avard,Pimpama,4209,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Gold Coast (C),NonQueensland,Mackay,5500
International Delegations,,IoT Australasia Pty Ltd ta Water Save,Cairns,4870,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Cairns (R),NonQueensland,Mackay,5000
International Delegations,,Ceres Tag Pty Ltd,Bunya,4055,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Moreton Bay (R),NonQueensland,Mackay,5000
International Delegations,,Sustainable Organic Solutions Pty. Ltd.,Indooroopilly,4068,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Scout Aerial Media and Surveying,Eight Mile Plains,4113,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Startup Catalyst Pty Ltd,Fortitude Valley,4006,,"Startup Catalyst, Austrade",Israel Mission,Israel,,,2/05/2017,Brisbane (C),NonQueensland,Mackay,10000
International Delegations,,V-TOL Aerospace Pty Limited,Rocklea,4106,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,MOVUS,Indooroopilly,4068,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Nexgen Plants Pty Ltd,St Lucia,4067,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Anne-Marie Walton,Ipswich,4305,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Ipswich (C),NonQueensland,Mackay,5500
International Delegations,,Bioproton Pty Ltd,Acacia Ridge,4110,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Hydrox Technologies Pty Ltd,Sumner,4074,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000
International Delegations,,Agrihive,Longreach,4730,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Longreach (R),NonQueensland,Mackay,5000
International Delegations,,Bronwyn Fenech,Rockhampton,4700,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Rockhampton (R),NonQueensland,Mackay,5500
International Delegations,,BlockGrain,Burleigh Heads,4220,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Gold Coast (C),NonQueensland,Mackay,5000
International Delegations,,Bronwyn Buksh,Peregian Beach,4573,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Noosa (S),NonQueensland,Mackay,5500
Johnson & Johnson,Johnson & Johnson,Golden Biotechnology Corporation,New Taipei City 251,,, Queensland University of Technology - Kelvin Grove Campus Master,Antroquinonol: A new chemical entity from Antrodia Camphorata,Kelvin Grove,4059,n/a,14/05/2016,NonQueensland,Brisbane and Redlands,NonQueensland,99475
Johnson & Johnson,Johnson & Johnson,Atomo Diagnostics Pty Ltd,Leichhardt,2040,,,Development of a Rapid Troponin lateral flow test strip,Eight Mile Plains,4113,n/a,14/05/2016,NonQueensland,Brisbane and Redlands,NonQueensland,100000
Johnson & Johnson,Johnson & Johnson,Eikonic R & D Pty Ltd,Spring Hill,4000,,,Improving Oral Health Through Innovation,Spring Hill,4000,,14/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,98452
Johnson & Johnson,Johnson & Johnson,Queensland University of Technology,Kelvin Grove,4059,,,Establishing and operating the J & J Innovation Partnering Office @ QUT,Kelvin Grove,4059,n/a,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,1083968
Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,ImmersaView Pty Ltd,Banyo,4014,,,Develop one-click solution for calibration,Banyo,4014,n/a,3/12/2015,Brisbane (C),Brisbane and Redlands,Nudgee,44267
